A0A0H2VW18:['porin activity', 'ion transmembrane transport','colicin transmembrane transporter activity']
Q8XDF1:['porin activity', 'ion transmembrane transport']
Q32E50:['porin activity', 'ion transmembrane transport']
A8AIE9:['porin activity', 'ion transmembrane transport']
D2TS66:['porin activity', 'ion transmembrane transport']
A0A2P5GRK8:['porin activity', 'ion transmembrane transport']
V5A844:['porin activity', 'ion transmembrane transport']
A0A0A2VZ09:['porin activity', 'ion transmembrane transport']
A0A495AI25:['porin activity', 'ion transmembrane transport']
A0A3N1IU70:['porin activity', 'ion transmembrane transport']
A0A4R3Z2Q4:['porin activity', 'ion transmembrane transport']
W0HUV4:['porin activity', 'ion transmembrane transport']
Q2NU93:['porin activity', 'ion transmembrane transport']
A0A0J5L9W7:['porin activity', 'ion transmembrane transport']
A0A4R1NAT4:['porin activity', 'ion transmembrane transport']
A0A2G8EHW5:['porin activity', 'ion transmembrane transport']
W0HUP2:['porin activity', 'ion transmembrane transport']
A0A1T4JRX2:['porin activity', 'ion transmembrane transport']
A0A4C1XZF6:['porin activity', 'ion transmembrane transport']
A0A2N5ETL8:['porin activity', 'ion transmembrane transport']
D8MQE5:['porin activity', 'ion transmembrane transport']
A0A443IDF5:['porin activity', 'ion transmembrane transport']
A0A1W6B0E1:['porin activity', 'ion transmembrane transport']
A0A1I4UP71:['porin activity', 'ion transmembrane transport']
A0A0U5L440:['porin activity', 'ion transmembrane transport']
A0A2X5BA73:['porin activity', 'ion transmembrane transport']
A0A2P5IPZ4:['porin activity', 'ion transmembrane transport']
A0A0L7TJC3:['porin activity', 'ion transmembrane transport']
D4GNI7:['porin activity', 'ion transmembrane transport']
A0A095T9N4:['porin activity', 'ion transmembrane transport']
A0A085JCB7:['porin activity', 'ion transmembrane transport']
A0A427K910:['porin activity', 'ion transmembrane transport']
A0A0M2K7Q5:['porin activity', 'ion transmembrane transport']
A0A4R1NCR7:['porin activity', 'ion transmembrane transport']
A0A014PS78:['porin activity', 'ion transmembrane transport']
A0A0Q4MFH9:['porin activity', 'ion transmembrane transport']
A0A0J8YUW0:['porin activity', 'ion transmembrane transport']
A0A250B5W8:['porin activity', 'ion transmembrane transport']
A0A014MG85:['porin activity', 'ion transmembrane transport']
A0A2S9IH56:['porin activity', 'ion transmembrane transport']
A0A4V2W599:['porin activity', 'ion transmembrane transport']
D4E927:['porin activity', 'ion transmembrane transport']
H2IPA2:['porin activity', 'ion transmembrane transport']
D8MNK9:['porin activity', 'ion transmembrane transport']
A0A1X1DA76:['porin activity', 'ion transmembrane transport']
D8MRD1:['porin activity', 'ion transmembrane transport']
A9MQZ9:['porin activity', 'ion transmembrane transport']
A0A0H2UYK2:['porin activity', 'ion transmembrane transport']
A0A085GE86:['porin activity', 'ion transmembrane transport']
A0A0Q4NH47:['porin activity', 'ion transmembrane transport']
Q8X7N5:['porin activity', 'ion transmembrane transport']
A0A2X4TWW6:['porin activity', 'ion transmembrane transport']
W0LDE3:['porin activity', 'ion transmembrane transport']
A0A250AYD2:['porin activity', 'ion transmembrane transport']
A0A2X5C324:['porin activity', 'ion transmembrane transport']
A0A0F7HCJ4:['porin activity', 'ion transmembrane transport']
A0A097R7W9:['porin activity', 'ion transmembrane transport']
A0A240BNT4:['porin activity', 'ion transmembrane transport']
A0A384KMK5:['porin activity', 'ion transmembrane transport']
A0A085U4C3:['porin activity', 'ion transmembrane transport']
A0A2X5B3E0:['porin activity', 'ion transmembrane transport']
D4E546:['porin activity', 'ion transmembrane transport']
A8AKP7:['porin activity', 'ion transmembrane transport']
D2TJZ0:['porin activity', 'ion transmembrane transport']
A0A447M4Q8:['porin activity', 'ion transmembrane transport']
A0A3R9PC09:['porin activity', 'ion transmembrane transport']
A0A0V9JT36:['porin activity', 'ion transmembrane transport']
A0A0V9J7V6:['porin activity', 'ion transmembrane transport']
A0A3N1I5L4:['porin activity', 'ion transmembrane transport']
A0A071M035:['porin activity', 'ion transmembrane transport']
A0A0L7THP0:['porin activity', 'ion transmembrane transport']
A0A428LLP0:['porin activity', 'ion transmembrane transport']
D2TJB4:['porin activity', 'ion transmembrane transport']
A0A085GGC3:['porin activity', 'ion transmembrane transport']
D4GL12:['porin activity', 'ion transmembrane transport']
A0A0Q4N2G0:['porin activity', 'ion transmembrane transport']
A0A2G8E3X8:['porin activity', 'ion transmembrane transport']
A0A4C1X639:['porin activity', 'ion transmembrane transport']
A0A240C3S6:['porin activity', 'ion transmembrane transport']
A0A2P5IRJ9:['porin activity', 'ion transmembrane transport']
A9MNR6:['porin activity', 'ion transmembrane transport']
A0A443IEV1:['porin activity', 'ion transmembrane transport']
W1EFS1:['porin activity', 'ion transmembrane transport']
A0A370QMI8:['porin activity', 'ion transmembrane transport']
W0LE37:['porin activity', 'ion transmembrane transport']
E3G7M2:['porin activity', 'ion transmembrane transport']
A0A0F7HIQ7:['porin activity', 'ion transmembrane transport']
